nama_buku,harga,total_penjualan,penulis,tahun_terbit,genre,rating
Atomic Habits,120000,34,James Clear,2018,Self-help,4.8
The Pragmatic Programmer,150000,21,Andrew Hunt & David Thomas,1999,Programming,4.7
Clean Code,135000,27,Robert C. Martin,2008,Programming,4.6
Deep Work,110000,15,Cal Newport,2016,Productivity,4.5
Zero to One,125000,18,Peter Thiel,2014,Business,4.4
The Lean Startup,140000,22,Eric Ries,2011,Business,4.3
Rich Dad Poor Dad,95000,40,Robert Kiyosaki,1997,Finance,4.2
Thinking Fast and Slow,160000,12,Daniel Kahneman,2011,Psychology,4.1
Start With Why,130000,19,Simon Sinek,2009,Business,4.0
The Psychology of Montaey,100000,25,Morgan Housel,2020,Finance,4.5
Sapiens,170000,30,Yuval Noah Harari,2011,History,4.7